||=           Routine            =||=   min time(s)     =||=   mean time(s)    =||=   max time(s)     =||=     No. calls     =||=       %time       =||= time per call(s)  =||
||                          gungho||              6554.25||              6554.32||              6554.99||                    1||             100.0000||            6554.3234||
||           runtime_constants_alg||                54.03||                54.08||                54.11||                    1||               0.8251||              54.0798||
||         geometric_constants_alg||                 2.74||                 2.75||                 2.76||                    1||               0.0420||               2.7532||
||               fem_constants_alg||                43.20||                43.20||                43.21||                    1||               0.6592||              43.2046||
||       physical_op_constants_alg||                 7.47||                 7.51||                 7.53||                    1||               0.1146||               7.5109||
||         intermesh_constants_alg||                 0.53||                 0.54||                 0.55||                    1||               0.0082||               0.5383||
||                        set_wind||               472.48||               558.22||               629.41||                 2161||               8.5169||               0.2583||
||          mass_matrix_solver_alg||               728.18||               797.78||               904.42||                 5918||              12.1719||               0.1348||
||              map_physics_fields||               106.28||               107.41||               108.57||                  721||               1.6387||               0.1490||
||            xios_update_calendar||                 9.00||                 9.12||                 9.28||                  722||               0.1391||               0.0126||
||       gungho_diagnostics_driver||                50.15||                50.17||                50.18||                   41||               0.7654||               1.2236||
||         si_operators_alg:create||                 0.00||                 0.00||                 0.00||                    1||               0.0000||               0.0009||
||      semi_implicit_timestep_alg||              6427.12||              6427.26||              6427.35||                  720||              98.0614||               8.9268||
||                    slow_physics||              3150.81||              3151.08||              3152.11||                  720||              48.0763||               4.3765||
||              fsd_condensate_alg||                 2.76||                 2.86||                 2.92||                  720||               0.0437||               0.0040||
||                       mphys_alg||                58.41||               127.02||               145.40||                  720||               1.9380||               0.1764||
||               mphys_diagnostics||                 2.13||                 2.23||                 2.36||                  720||               0.0341||               0.0031||
||                  illuminate_alg||                 1.18||                 1.18||                 1.19||                  720||               0.0180||               0.0016||
||                 illuminate_xios||                 0.04||                 0.04||                 0.04||                  720||               0.0006||               0.0001||
||                    rad_tile_alg||                 2.17||                 2.29||                 2.44||                  720||               0.0350||               0.0032||
||                    sw_radiation||              1061.93||              1131.46||              1193.66||                  720||              17.2628||               1.5715||
||                 radiation_diags||                 6.42||                 7.53||                11.31||                 1440||               0.1149||               0.0052||
||                    lw_radiation||               822.97||               867.54||               909.61||                  720||              13.2362||               1.2049||
||            pc2_rad_response_alg||                 4.40||                 4.59||                 4.72||                  720||               0.0701||               0.0064||
||           pc2_rad_response_xios||                 0.45||                 0.49||                 0.55||                  720||               0.0075||               0.0007||
||                      bl_exp_alg||               597.32||               722.16||               897.53||                 1440||              11.0181||               0.5015||
||                    bl_exp_diags||                 1.12||                 1.18||                 1.24||                 1440||               0.0179||               0.0008||
||                      bm_tau_alg||                30.11||                30.24||                30.48||                  720||               0.4614||               0.0420||
||                  pc2_checks_alg||                 3.40||                 3.42||                 3.46||                  720||               0.0521||               0.0047||
||                 pc2_checks_xios||                 0.77||                 0.85||                 0.97||                  720||               0.0130||               0.0012||
||                         rhs_alg||               196.28||               198.53||               200.73||                 3600||               3.0290||               0.0551||
||        gungho_transport_control||               830.44||               832.30||               834.33||                 1440||              12.6985||               0.5780||
||               calc_vert_dep_pts||                14.90||                16.26||                18.21||                 1440||               0.2482||               0.0113||
||            mol_conservative_alg||                99.96||               101.22||               102.53||                 4320||               1.5443||               0.0234||
||               mol_advective_alg||               359.05||               360.65||               362.02||                36720||               5.5025||               0.0098||
||                  wind transport||               164.68||               165.37||               166.03||                 1440||               2.5231||               0.1148||
||    moist mixing ratio transport||               224.93||               226.67||               228.46||                 1440||               3.4583||               0.1574||
||              mol_consistent_alg||               220.99||               222.80||               224.43||                17280||               3.3992||               0.0129||
||     tracer collection transport||               184.96||               186.49||               187.71||                 2160||               2.8453||               0.0863||
||            calc_phys_predictors||               253.28||               255.72||               256.79||                 1440||               3.9016||               0.1776||
||                    fast_physics||               989.92||               996.46||               998.87||                 1440||              15.2030||               0.6920||
||                     conv_gr_alg||                92.99||               132.31||               211.00||                 1440||               2.0187||               0.0919||
||                      conv_diags||                 9.62||                10.05||                10.63||                 2160||               0.1533||               0.0047||
||           pc2_conv_coupling_alg||                10.92||                12.45||                15.71||                 1440||               0.1900||               0.0086||
||          pc2_conv_coupling_xios||                 1.41||                 1.89||                 2.83||                 1440||               0.0289||               0.0013||
||                      bl_imp_alg||               341.76||               352.24||               369.43||                 2880||               5.3741||               0.1223||
||                    bl_imp_diags||                 3.36||                 3.66||                 4.18||                 1480||               0.0558||               0.0025||
||        si_operators_alg:compute||               230.76||               231.84||               232.55||                  720||               3.5372||               0.3220||
||        semi_implicit_solver_alg||               456.70||               458.39||               461.29||                 2880||               6.9937||               0.1592||
||                    mixed_solver||               399.74||               400.74||               401.85||                 2880||               6.1142||               0.1391||
||  mixed_schur_preconditioner_alg||               173.74||               175.05||               176.78||                13238||               2.6707||               0.0132||
||                 mixed_schur rhs||                38.01||                38.63||                39.13||                13238||               0.5894||               0.0029||
||         mixed_schur rhs:helm_ru||                 8.00||                 8.84||                 9.38||                13238||               0.1348||               0.0007||
||         mixed_schur rhs:helm_rx||                20.69||                21.19||                21.81||                13238||               0.3233||               0.0016||
||               mixed_schur solve||                92.09||                93.73||                95.22||                13238||               1.4301||               0.0071||
||                   helmholtz lhs||                36.97||                39.72||                42.84||               198570||               0.6060||               0.0002||
||           schur back substitute||                37.73||                38.43||                39.22||                13238||               0.5863||               0.0029||
||                  mixed_operator||               169.33||               170.26||               171.10||                13238||               2.5977||               0.0129||
||                 jules_extra_alg||                70.55||                72.03||                75.59||                  720||               1.0990||               0.1000||
||                jules_snow_diags||                 0.49||                 0.54||                 0.61||                 1440||               0.0083||               0.0004||
||                jules_soil_diags||                 0.19||                 0.21||                 0.22||                 1440||               0.0031||               0.0001||
||                         cld_alg||                37.78||                38.77||                39.89||                  720||               0.5915||               0.0538||
||                       cld_diags||                 0.31||                 0.32||                 0.33||                  760||               0.0049||               0.0004||
||        pc2_pressure_forcing_alg||                 5.21||                 5.35||                 5.50||                  720||               0.0817||               0.0074||
||       pc2_pressure_forcing_xios||                 0.77||                 0.82||                 0.87||                  720||               0.0126||               0.0011||
||              pc2_initiation_alg||                28.96||                29.77||                30.58||                  720||               0.4542||               0.0413||
||             pc2_initiation_xios||                 0.96||                 1.12||                 1.25||                  720||               0.0171||               0.0016||
||                  si_diagnostics||                 3.18||                 3.20||                 3.21||                   40||               0.0488||               0.0799||
